step,baseline_train_loss,reader_train_loss
1065,3.076514,3.273069
1066,3.067939,3.263811
1067,3.075162,3.27067
1068,3.084455,3.279316
1069,3.073688,3.26892
1070,3.070098,3.265174
1071,3.0797,3.274987
1072,3.082291,3.277767
1073,3.083363,3.27988
1074,3.072564,3.268441
1075,3.073837,3.269661
1076,3.07885,3.274721
1077,3.0769,3.272782
1078,3.070409,3.265734
1079,3.061701,3.257471
1080,3.075393,3.272311
1081,3.074976,3.270676
1082,3.083411,3.2793
1083,3.081736,3.2776
1084,3.079029,3.274439
1085,3.081261,3.276725
1086,3.072992,3.267529
1087,3.068084,3.262106
1088,3.074332,3.268944
1089,3.075359,3.26978
1090,3.067392,3.26118
1091,3.073007,3.266889
1092,3.081876,3.276822
1093,3.078235,3.272699
1094,3.053006,3.247469
1095,3.045257,3.239209
1096,3.046549,3.241304
1097,3.046815,3.240684
1098,3.06047,3.25485
1099,3.053795,3.247976
1100,3.046207,3.240513
1101,3.044222,3.239315
1102,3.051135,3.246333
1103,3.052985,3.248663
1104,3.055692,3.251145
1105,3.055011,3.25093
1106,3.053406,3.248845
1107,3.050273,3.246149
1108,3.042783,3.238293
1109,3.040967,3.236222
1110,3.036179,3.231254
1111,3.032695,3.22866
1112,3.028464,3.224233
1113,3.043063,3.23889
1114,3.050666,3.246175
1115,3.059551,3.255248
1116,3.055489,3.251526
1117,3.058123,3.254258
1118,3.079436,3.275843
1119,3.074312,3.269956
1120,3.072171,3.268623
1121,3.086136,3.282555
1122,3.076377,3.272008
1123,3.086059,3.282272
1124,3.087899,3.285278
1125,3.080767,3.277909
1126,3.080921,3.278222
1127,3.08347,3.281241
1128,3.082962,3.279226
1129,3.092374,3.288531
1130,3.077512,3.273773
1131,3.080431,3.276763
1132,3.076866,3.272887
1133,3.076696,3.271968
1134,3.071725,3.267581
1135,3.074797,3.270135
1136,3.071786,3.267307
1137,3.063346,3.258838
1138,3.071346,3.266523
1139,3.065123,3.261654
1140,3.062711,3.258768
1141,3.062748,3.258308
1142,3.065902,3.260964
